Word,Frequency,Frequency (%)
ним,181,0.10386%
ж,180,0.10328%
потом,179,0.10271%
минуту,178,0.10213%
без,177,0.10156%
об,177,0.10156%
всех,177,0.10156%
ивановна,175,0.10041%
тебя,175,0.10041%
будет,175,0.10041%
были,172,0.09869%
при,172,0.09869%
всего,171,0.09812%
этого,170,0.09754%
наконец,169,0.09697%
сейчас,168,0.09640%
сказал,166,0.09525%
под,165,0.09467%
мог,164,0.09410%
эту,164,0.09410%
какой,161,0.09238%
стало,160,0.09181%
кажется,157,0.09008%
можно,156,0.08951%
знаю,156,0.08951%
сказать,155,0.08894%
кто,154,0.08836%
более,154,0.08836%
точно,152,0.08722%
них,151,0.08664%
стал,149,0.08549%
чтоб,148,0.08492%
чуть,148,0.08492%
хе,147,0.08435%
конечно,144,0.08263%
тот,144,0.08263%
зачем,144,0.08263%
свидригайлов,142,0.08148%
эти,142,0.08148%
нее,140,0.08033%
дуня,140,0.08033%
порфирий,134,0.07689%
через,133,0.07631%
два,132,0.07574%
том,132,0.07574%
несколько,131,0.07517%
прямо,130,0.07459%
после,130,0.07459%
раскольникова,128,0.07344%
катерина,128,0.07344%
действительно,125,0.07172%
всем,124,0.07115%
петр,121,0.06943%
лучше,121,0.06943%
совершенно,121,0.06943%
вчера,120,0.06885%
руки,119,0.06828%
всю,119,0.06828%
особенно,118,0.06771%
весьма,116,0.06656%
свою,116,0.06656%
всегда,116,0.06656%
хотя,114,0.06541%
куда,114,0.06541%
здесь,113,0.06484%
именно,112,0.06426%
слишком,110,0.06312%
пульхерия,110,0.06312%
много,109,0.06254%
александровна,109,0.06254%
весь,109,0.06254%
глаза,108,0.06197%
деньги,108,0.06197%
дверь,108,0.06197%
хотел,108,0.06197%
больше,107,0.06140%
говорил,106,0.06082%
пошел,105,0.06025%
между,104,0.05967%
сегодня,104,0.05967%
им,104,0.05967%
родя,103,0.05910%
лицо,103,0.05910%
нем,102,0.05853%
нельзя,102,0.05853%
таки,102,0.05853%
одно,102,0.05853%
знаете,101,0.05795%
сама,101,0.05795%
подумал,101,0.05795%
эта,101,0.05795%
перед,101,0.05795%
никогда,101,0.05795%
разве,100,0.05738%
почему,100,0.05738%
день,99,0.05680%
знал,99,0.05680%
спросил,98,0.05623%
сами,97,0.05566%
вся,97,0.05566%
слова,97,0.05566%
другой,95,0.05451%
какая,94,0.05394%
ах,92,0.05279%
сюда,92,0.05279%
тому,92,0.05279%
думал,91,0.05221%
брат,91,0.05221%
проговорил,91,0.05221%
нас,91,0.05221%
голову,91,0.05221%
своей,90,0.05164%
родион,90,0.05164%
лет,89,0.05107%
прежде,89,0.05107%
этой,88,0.05049%
такой,88,0.05049%
пожалуй,87,0.04992%
самом,86,0.04935%
начал,86,0.04935%
довольно,85,0.04877%
пришел,85,0.04877%
мысль,85,0.04877%
три,84,0.04820%
продолжал,84,0.04820%
руку,83,0.04762%
могу,82,0.04705%
непременно,82,0.04705%
давно,81,0.04648%
одна,81,0.04648%
такое,81,0.04648%
одного,80,0.04590%
сердце,80,0.04590%
говорю,80,0.04590%
господи,80,0.04590%
заметил,79,0.04533%
мой,79,0.04533%
авдотья,78,0.04476%
романовна,78,0.04476%
знает,78,0.04476%
нему,77,0.04418%
человека,77,0.04418%
который,77,0.04418%
говорит,76,0.04361%
право,76,0.04361%
говорить,75,0.04303%
просто,75,0.04303%
давеча,74,0.04246%
какие,74,0.04246%
одним,74,0.04246%
взял,74,0.04246%
вышел,74,0.04246%
ужасно,73,0.04189%
дунечка,73,0.04189%
мать,72,0.04131%
вместе,72,0.04131%
б,72,0.04131%
однако,72,0.04131%
хорошо,71,0.04074%
дома,71,0.04074%
неужели,70,0.04017%
пор,70,0.04017%
прибавил,69,0.03959%
нам,69,0.03959%
назад,69,0.03959%
стоял,69,0.03959%
хочу,68,0.03902%
над,68,0.03902%
вами,68,0.03902%
вопрос,68,0.03902%
долго,67,0.03844%
каким,66,0.03787%
кроме,66,0.03787%
своего,66,0.03787%
раскольникову,66,0.03787%
видел,66,0.03787%
ясно,66,0.03787%
этих,66,0.03787%
мало,65,0.03730%
мере,65,0.03730%
посмотрел,65,0.03730%
черт,65,0.03730%
смотрел,65,0.03730%
крикнул,65,0.03730%
отвечал,65,0.03730%
сказала,64,0.03672%
пять,64,0.03672%
например,63,0.03615%
свое,63,0.03615%
жизнь,63,0.03615%
несмотря,63,0.03615%
такие,63,0.03615%
иногда,62,0.03557%
вскричал,62,0.03557%
сколько,62,0.03557%
немного,62,0.03557%
крайней,62,0.03557%
комнате,62,0.03557%
оно,62,0.03557%
буду,61,0.03500%
деле,61,0.03500%
зосимов,61,0.03500%
настасья,61,0.03500%
какое,60,0.03443%
всё,60,0.03443%
кого,60,0.03443%
свои,60,0.03443%
ко,60,0.03443%
которые,60,0.03443%
стоит,60,0.03443%
господин,59,0.03385%
комнату,59,0.03385%
которую,59,0.03385%
значит,59,0.03385%
первый,59,0.03385%
скажу,58,0.03328%
убил,58,0.03328%
квартиру,58,0.03328%
та,58,0.03328%
ними,58,0.03328%
разумеется,58,0.03328%
напротив,57,0.03271%
комнаты,57,0.03271%
одной,57,0.03271%
странно,57,0.03271%
вашей,57,0.03271%
разумихина,56,0.03213%
правда,56,0.03213%
завтра,56,0.03213%
жить,56,0.03213%
сих,56,0.03213%
друг,56,0.03213%
бог,55,0.03156%
дня,55,0.03156%
оба,55,0.03156%
мгновение,55,0.03156%
остановился,55,0.03156%
ивановны,54,0.03098%
свой,54,0.03098%
понимаю,54,0.03098%
стороны,54,0.03098%
одну,54,0.03098%
матери,53,0.03041%
могла,53,0.03041%
двух,53,0.03041%
десять,53,0.03041%
самой,53,0.03041%
вошел,53,0.03041%
такая,53,0.03041%
подле,53,0.03041%
пусть,52,0.02984%
вздор,52,0.02984%
моя,52,0.02984%
рублей,52,0.02984%
ль,52,0.02984%
своем,52,0.02984%
затем,52,0.02984%
нарочно,52,0.02984%
петровича,51,0.02926%
знаешь,51,0.02926%
заметов,51,0.02926%
смотря,51,0.02926%
словом,51,0.02926%
место,51,0.02926%
кругом,51,0.02926%
таким,51,0.02926%
лужин,50,0.02869%
моему,50,0.02869%
вперед,50,0.02869%
казалось,50,0.02869%
люди,50,0.02869%
насчет,49,0.02812%
марфа,49,0.02812%
делать,49,0.02812%
час,49,0.02812%
своих,49,0.02812%
должно,49,0.02812%
образом,48,0.02754%
стала,48,0.02754%
денег,48,0.02754%
быстро,47,0.02697%
молодой,47,0.02697%
романыч,47,0.02697%
жизни,47,0.02697%
людей,47,0.02697%
лестнице,47,0.02697%
тихо,47,0.02697%
этим,47,0.02697%
ивановне,46,0.02639%
рукой,46,0.02639%
батюшка,46,0.02639%
случае,46,0.02639%
встал,46,0.02639%
две,46,0.02639%
самого,46,0.02639%
кровь,46,0.02639%
хотелось,46,0.02639%
те,46,0.02639%
ту,46,0.02639%
самое,46,0.02639%
улицу,46,0.02639%
сидел,45,0.02582%
поскорей,45,0.02582%
углу,45,0.02582%
самый,45,0.02582%
ха,45,0.02582%
мысли,45,0.02582%
ночь,45,0.02582%
никто,45,0.02582%
петровна,45,0.02582%
этак,45,0.02582%
пристально,44,0.02525%
последнее,44,0.02525%
коли,44,0.02525%
стояла,44,0.02525%
обе,44,0.02525%
скоро,44,0.02525%
слово,44,0.02525%
эх,44,0.02525%
стол,44,0.02525%
сделать,44,0.02525%
вижу,44,0.02525%
иначе,44,0.02525%
детей,44,0.02525%
голос,44,0.02525%
случай,43,0.02467%
чрезвычайно,43,0.02467%
вообще,43,0.02467%
мной,43,0.02467%
моей,43,0.02467%
времени,43,0.02467%
наверно,43,0.02467%
нечего,43,0.02467%
позвольте,43,0.02467%
лебезятников,43,0.02467%
руками,43,0.02467%
молча,43,0.02467%
разом,43,0.02467%
известно,43,0.02467%
узнал,42,0.02410%
понимаете,42,0.02410%
какого,42,0.02410%
идти,42,0.02410%
ответил,42,0.02410%
всей,42,0.02410%
свидригайлова,42,0.02410%
минут,42,0.02410%
письмо,42,0.02410%
домой,42,0.02410%
глазами,42,0.02410%
чему,41,0.02353%
видишь,41,0.02353%
часов,41,0.02353%
платье,41,0.02353%
первого,41,0.02353%
сел,41,0.02353%
лужина,41,0.02353%
окончательно,41,0.02353%
взглядом,41,0.02353%
софья,40,0.02295%
глаз,40,0.02295%
дом,40,0.02295%
пожалуйста,40,0.02295%
нею,40,0.02295%
своим,40,0.02295%
хочет,40,0.02295%
лица,40,0.02295%
порфирия,40,0.02295%
собой,40,0.02295%
видно,40,0.02295%
хотите,40,0.02295%
смотреть,40,0.02295%
катерины,40,0.02295%
показалось,39,0.02238%
другого,39,0.02238%
говорите,39,0.02238%
ибо,39,0.02238%
тех,39,0.02238%
гм,39,0.02238%
шел,39,0.02238%
знать,39,0.02238%
раза,39,0.02238%
говорят,38,0.02180%
богу,38,0.02180%
какую,38,0.02180%
сделал,38,0.02180%
серьезно,38,0.02180%
дети,38,0.02180%
соню,38,0.02180%
ка,38,0.02180%
такого,38,0.02180%
которой,38,0.02180%
успел,38,0.02180%
забыл,38,0.02180%
вовсе,38,0.02180%
всеми,38,0.02180%
вскрикнула,38,0.02180%
петра,38,0.02180%
друга,38,0.02180%
семеновна,38,0.02180%
роде,37,0.02123%
вероятно,37,0.02123%
боже,37,0.02123%
амалия,37,0.02123%
вид,37,0.02123%
смерти,37,0.02123%
дела,37,0.02123%
сони,37,0.02123%
вещи,37,0.02123%
которая,37,0.02123%
которого,37,0.02123%
другое,37,0.02123%
разумихину,36,0.02066%
тобой,36,0.02066%
говорили,36,0.02066%
бреду,36,0.02066%
имел,36,0.02066%
рад,36,0.02066%
фр,36,0.02066%
стали,36,0.02066%
места,36,0.02066%
сторону,36,0.02066%
маменька,36,0.02066%
катерине,36,0.02066%
каждый,35,0.02008%
спросила,35,0.02008%
равно,35,0.02008%
слышал,35,0.02008%
брата,35,0.02008%
сестра,35,0.02008%
романович,35,0.02008%
дескать,35,0.02008%
лестницы,35,0.02008%
главное,35,0.02008%
никого,35,0.02008%
начала,35,0.02008%
руках,34,0.01951%
можете,34,0.01951%
могли,34,0.01951%
ваш,34,0.01951%
квартире,34,0.01951%
мое,34,0.01951%
ваше,34,0.01951%
месяц,34,0.01951%
головой,34,0.01951%
обратился,34,0.01951%
лестницу,34,0.01951%
пробормотал,34,0.01951%
вполне,34,0.01951%
собою,34,0.01951%
вашего,34,0.01951%
едва,34,0.01951%
чувствовал,33,0.01893%
извините,33,0.01893%
видите,33,0.01893%
поскорее,33,0.01893%
каком,33,0.01893%
двадцать,33,0.01893%
женщина,33,0.01893%
часть,33,0.01893%
виде,33,0.01893%
вниз,33,0.01893%
всему,33,0.01893%
видал,33,0.01893%
смотрела,33,0.01893%
таких,33,0.01893%
топор,32,0.01836%
одному,32,0.01836%
этому,32,0.01836%
кстати,32,0.01836%
целый,32,0.01836%
мои,32,0.01836%
голове,32,0.01836%
тяжело,32,0.01836%
прошел,32,0.01836%
ходить,32,0.01836%
верно,32,0.01836%
внимательно,32,0.01836%
лицом,32,0.01836%
помню,32,0.01836%
боюсь,32,0.01836%
семенович,32,0.01836%
пойду,32,0.01836%
улице,32,0.01836%
первых,32,0.01836%
думаю,31,0.01779%
андрей,31,0.01779%
каких,31,0.01779%
угол,31,0.01779%
вон,31,0.01779%
лежал,31,0.01779%
студент,31,0.01779%
карман,31,0.01779%
подошел,31,0.01779%
против,31,0.01779%
должен,31,0.01779%
гораздо,31,0.01779%
часы,30,0.01721%
года,30,0.01721%
обращаясь,30,0.01721%
голова,30,0.01721%
стул,30,0.01721%
бросился,30,0.01721%
свидания,30,0.01721%
люблю,30,0.01721%
знали,30,0.01721%
должны,30,0.01721%
голосом,30,0.01721%
мамаша,30,0.01721%
третий,30,0.01721%
отчасти,30,0.01721%
видом,30,0.01721%
взять,30,0.01721%
таком,30,0.01721%
туда,29,0.01664%
вскричала,29,0.01664%
узнать,29,0.01664%
диван,29,0.01664%
али,29,0.01664%
господина,29,0.01664%
вспомнил,29,0.01664%
своими,29,0.01664%
бросилась,29,0.01664%
большой,29,0.01664%
двери,29,0.01664%
самых,29,0.01664%
дальше,29,0.01664%
которых,29,0.01664%
доме,29,0.01664%
пред,29,0.01664%
месте,29,0.01664%
государь,29,0.01664%
понял,29,0.01664%
медленно,29,0.01664%
произнес,28,0.01607%
крепко,28,0.01607%
мимо,28,0.01607%
случилось,28,0.01607%
можешь,28,0.01607%
третьего,28,0.01607%
уйти,28,0.01607%
самому,28,0.01607%
решительно,28,0.01607%
говоря,28,0.01607%
соне,28,0.01607%
самым,28,0.01607%
вещь,28,0.01607%
дочь,28,0.01607%
лице,28,0.01607%
пьян,28,0.01607%
приходил,28,0.01607%
глазах,28,0.01607%
ровно,28,0.01607%
верите,28,0.01607%
часу,27,0.01549%
имеет,27,0.01549%
разговор,27,0.01549%
понять,27,0.01549%
решился,27,0.01549%
вслед,27,0.01549%
около,27,0.01549%
могло,27,0.01549%
минуты,27,0.01549%
отчего,27,0.01549%
часто,27,0.01549%
своему,27,0.01549%
обо,27,0.01549%
прошло,27,0.01549%
самую,27,0.01549%
оттого,27,0.01549%
состоянии,27,0.01549%
пока,27,0.01549%
столько,27,0.01549%
болезни,27,0.01549%
любит,27,0.01549%
рядом,27,0.01549%
дуню,27,0.01549%
думаете,27,0.01549%
мармеладов,27,0.01549%
сначала,27,0.01549%
заметила,27,0.01549%
преступление,27,0.01549%
громко,27,0.01549%
трудно,27,0.01549%
вместо,26,0.01492%
шагов,26,0.01492%
спокойно,26,0.01492%
пойдет,26,0.01492%
старуха,26,0.01492%
одном,26,0.01492%
подлец,26,0.01492%
ум,26,0.01492%
бормотал,26,0.01492%
прощай,26,0.01492%
снова,26,0.01492%
свете,26,0.01492%
среди,26,0.01492%
вздрогнул,26,0.01492%
почувствовал,26,0.01492%
вышла,26,0.01492%
скажите,25,0.01434%
окна,25,0.01434%
видимо,25,0.01434%
хочешь,25,0.01434%
дворник,25,0.01434%
сердца,25,0.01434%
квартиры,25,0.01434%
дал,25,0.01434%
миколка,25,0.01434%
иные,25,0.01434%
ходил,25,0.01434%
смех,25,0.01434%
ваша,25,0.01434%
твердо,25,0.01434%
приду,25,0.01434%
проговорила,25,0.01434%
взгляд,25,0.01434%
очевидно,25,0.01434%
дмитрий,25,0.01434%
ноги,25,0.01434%
изволили,25,0.01434%
думать,25,0.01434%
никак,25,0.01434%
девочка,25,0.01434%
ивановну,24,0.01377%
видеть,24,0.01377%
э,24,0.01377%
слушал,24,0.01377%
взгляда,24,0.01377%
заранее,24,0.01377%
отца,24,0.01377%
степени,24,0.01377%
дверью,24,0.01377%
девушка,24,0.01377%
год,24,0.01377%
имею,24,0.01377%
стояли,24,0.01377%
сто,24,0.01377%
заметова,24,0.01377%
которое,24,0.01377%
удивлением,24,0.01377%
которым,24,0.01377%
хозяйка,24,0.01377%
чай,24,0.01377%
сестру,24,0.01377%
болезнь,24,0.01377%
никаких,24,0.01377%
копеек,24,0.01377%
сильно,24,0.01377%
других,24,0.01377%
вечер,24,0.01377%
милостивый,23,0.01320%
шагах,23,0.01320%
поминутно,23,0.01320%
спросить,23,0.01320%
говорила,23,0.01320%
пришла,23,0.01320%
квартира,23,0.01320%
дверей,23,0.01320%
прокофьич,23,0.01320%
пальто,23,0.01320%
семь,23,0.01320%
отвращением,23,0.01320%
поднял,23,0.01320%
делу,23,0.01320%
нами,23,0.01320%
шесть,23,0.01320%
человеку,23,0.01320%
возможно,23,0.01320%
придет,23,0.01320%
представить,23,0.01320%
любил,23,0.01320%
перебил,23,0.01320%
должна,23,0.01320%
человеком,23,0.01320%
стула,23,0.01320%
порфирию,23,0.01320%
стола,23,0.01320%
заклад,23,0.01320%
зная,23,0.01320%
закричал,23,0.01320%
одни,23,0.01320%
часа,22,0.01262%
чувство,22,0.01262%
н,22,0.01262%
волнении,22,0.01262%
слушай,22,0.01262%
живет,22,0.01262%
четыре,22,0.01262%
решил,22,0.01262%
жаль,22,0.01262%
кому,22,0.01262%
дам,22,0.01262%
пойдем,22,0.01262%
ждал,22,0.01262%
камень,22,0.01262%
второй,22,0.01262%
мою,22,0.01262%
странное,22,0.01262%
той,22,0.01262%
увидел,22,0.01262%
котором,22,0.01262%
кричит,22,0.01262%
пора,22,0.01262%
многое,22,0.01262%
знала,22,0.01262%
возьми,22,0.01262%
лизавета,22,0.01262%
желаю,22,0.01262%
всякого,22,0.01262%
помнил,22,0.01262%
мещанин,22,0.01262%
хотела,22,0.01262%
доктор,22,0.01262%
другие,22,0.01262%
другом,22,0.01262%
такую,22,0.01262%
этаж,22,0.01262%
отчаянии,21,0.01205%
дурак,21,0.01205%
боялся,21,0.01205%
очнулся,21,0.01205%
строго,21,0.01205%
петровичу,21,0.01205%
последний,21,0.01205%
волосы,21,0.01205%
пошла,21,0.01205%
вслух,21,0.01205%
губы,21,0.01205%
мною,21,0.01205%
полечка,21,0.01205%
аль,21,0.01205%
просить,21,0.01205%
пришли,21,0.01205%
дворе,21,0.01205%
илья,21,0.01205%
невозможно,21,0.01205%
слышно,21,0.01205%
любопытно,21,0.01205%
посмотрела,21,0.01205%
вашу,21,0.01205%
следует,21,0.01205%
фу,21,0.01205%
самая,21,0.01205%
настежь,21,0.01205%
виду,21,0.01205%
прочее,21,0.01205%
чаю,21,0.01205%
месяца,21,0.01205%
шаг,21,0.01205%
честь,21,0.01205%
факт,21,0.01205%
болен,21,0.01205%
никакой,21,0.01205%
молчание,21,0.01205%
наплевать,21,0.01205%
пьяный,21,0.01205%
далеко,21,0.01205%
полчаса,21,0.01205%
грудь,21,0.01205%
ощущение,21,0.01205%
обеих,21,0.01205%
всякий,21,0.01205%
всяком,21,0.01205%
конторе,21,0.01205%
мигом,21,0.01205%
видели,20,0.01148%
г,20,0.01148%
сидит,20,0.01148%
исступлении,20,0.01148%
извольте,20,0.01148%
улыбкой,20,0.01148%
утром,20,0.01148%
рубля,20,0.01148%
собственно,20,0.01148%
амалии,20,0.01148%
идет,20,0.01148%
ключ,20,0.01148%
будь,20,0.01148%
повернулся,20,0.01148%
принять,20,0.01148%
конец,20,0.01148%
крови,20,0.01148%
кхи,20,0.01148%
слов,20,0.01148%
ваши,20,0.01148%
единственно,20,0.01148%
ума,20,0.01148%
глядя,20,0.01148%
никакого,20,0.01148%
тридцать,20,0.01148%
вынул,20,0.01148%
некоторые,20,0.01148%
нашел,20,0.01148%
думаешь,20,0.01148%
белье,20,0.01148%
столу,20,0.01148%
петербург,20,0.01148%
усмехнулся,20,0.01148%
милый,20,0.01148%
положил,20,0.01148%
улицы,20,0.01148%
прошу,20,0.01148%
резко,20,0.01148%
робко,20,0.01148%
улыбка,20,0.01148%
точь,20,0.01148%
стене,20,0.01148%
контору,20,0.01148%
будем,20,0.01148%
прошептала,19,0.01090%
покамест,19,0.01090%
поняла,19,0.01090%
тысяч,19,0.01090%
откуда,19,0.01090%
последние,19,0.01090%
бывало,19,0.01090%
землю,19,0.01090%
отец,19,0.01090%
дверям,19,0.01090%
дай,19,0.01090%
дни,19,0.01090%
дороге,19,0.01090%
немедленно,19,0.01090%
беспокойтесь,19,0.01090%
силы,19,0.01090%
бросил,19,0.01090%
кой,19,0.01090%
прибавила,19,0.01090%
вчерашнего,19,0.01090%
осторожно,19,0.01090%
самые,19,0.01090%
верю,19,0.01090%
пойдемте,19,0.01090%
слышите,19,0.01090%
вина,19,0.01090%
понимал,19,0.01090%
чиновник,19,0.01090%
некоторое,19,0.01090%
слезы,19,0.01090%
дуне,19,0.01090%
помните,19,0.01090%
лизавету,19,0.01090%
зашел,19,0.01090%
схватил,19,0.01090%
смотрите,19,0.01090%
полтора,19,0.01090%
другую,19,0.01090%
внимания,19,0.01090%
признаюсь,18,0.01033%
иванович,18,0.01033%
повторил,18,0.01033%
авдотье,18,0.01033%
окну,18,0.01033%
подхватил,18,0.01033%
сторон,18,0.01033%
правду,18,0.01033%
револьвер,18,0.01033%
коль,18,0.01033%
приятно,18,0.01033%
дать,18,0.01033%
петербурге,18,0.01033%
диване,18,0.01033%
шаги,18,0.01033%
топором,18,0.01033%
проч,18,0.01033%
счет,18,0.01033%
романовне,18,0.01033%
вроде,18,0.01033%
выходит,18,0.01033%
засмеялся,18,0.01033%
сказали,18,0.01033%
читал,18,0.01033%
касается,18,0.01033%
положим,18,0.01033%
другая,18,0.01033%
стыдно,18,0.01033%
будешь,18,0.01033%
вышло,18,0.01033%
взяла,18,0.01033%
трех,18,0.01033%
маленькая,18,0.01033%
иметь,17,0.00975%
раздражительно,17,0.00975%
окно,17,0.00975%
считать,17,0.00975%
проснулся,17,0.00975%
бога,17,0.00975%
крикнула,17,0.00975%
чрез,17,0.00975%
дверях,17,0.00975%
подробности,17,0.00975%
могут,17,0.00975%
досадой,17,0.00975%
постели,17,0.00975%
поглядел,17,0.00975%
села,17,0.00975%
фуражку,17,0.00975%
иной,17,0.00975%
кох,17,0.00975%
лежит,17,0.00975%
комната,17,0.00975%
принес,17,0.00975%
убить,17,0.00975%
наше,17,0.00975%
нашего,17,0.00975%
видимому,17,0.00975%
сенной,17,0.00975%
ба,17,0.00975%
убийца,17,0.00975%
кармана,17,0.00975%
ребенок,17,0.00975%
выходя,17,0.00975%
рассказал,17,0.00975%
дворника,17,0.00975%
причины,17,0.00975%
многие,17,0.00975%
сильнее,17,0.00975%
воды,17,0.00975%
воду,17,0.00975%
согласен,17,0.00975%
лицу,17,0.00975%
новое,17,0.00975%
вошь,17,0.00975%
восемь,17,0.00975%
особенного,17,0.00975%
начнет,17,0.00975%
стакан,17,0.00975%
лично,17,0.00975%
уверена,17,0.00975%
страх,17,0.00975%
вечером,17,0.00975%
объяснить,17,0.00975%
вошла,17,0.00975%
город,17,0.00975%
преступления,17,0.00975%
начать,17,0.00975%
груди,17,0.00975%
сквозь,16,0.00918%
глубоко,16,0.00918%
руке,16,0.00918%
проходя,16,0.00918%
желание,16,0.00918%
сестрой,16,0.00918%
последнего,16,0.00918%
воротился,16,0.00918%
матерью,16,0.00918%
недавно,16,0.00918%
мужа,16,0.00918%
дух,16,0.00918%
дороги,16,0.00918%
дорогу,16,0.00918%
женщины,16,0.00918%
угодно,16,0.00918%
старухи,16,0.00918%
слушать,16,0.00918%
смысле,16,0.00918%
миг,16,0.00918%
искренно,16,0.00918%
принял,16,0.00918%
убили,16,0.00918%
тысячи,16,0.00918%
рот,16,0.00918%
спрашивал,16,0.00918%
разные,16,0.00918%
скорее,16,0.00918%
уме,16,0.00918%
дней,16,0.00918%
колени,16,0.00918%
видя,16,0.00918%
обстоятельство,16,0.00918%
сестре,16,0.00918%
своею,16,0.00918%
ожидании,16,0.00918%
некоторым,16,0.00918%
цели,16,0.00918%
изволите,16,0.00918%
права,16,0.00918%
характер,16,0.00918%
слышали,16,0.00918%
торопясь,16,0.00918%
стараясь,16,0.00918%
менее,16,0.00918%
недоумении,16,0.00918%
сверх,16,0.00918%
страшно,16,0.00918%
далее,16,0.00918%
зато,16,0.00918%
проходил,16,0.00918%
обратно,16,0.00918%
горячо,16,0.00918%
николая,16,0.00918%
хочется,16,0.00918%
готов,16,0.00918%
вскрикнул,16,0.00918%
кошелек,16,0.00918%
никому,16,0.00918%
будут,16,0.00918%
больно,16,0.00918%
рассказывать,16,0.00918%
читать,16,0.00918%
ворот,16,0.00918%
нового,15,0.00861%
сошел,15,0.00861%
чувства,15,0.00861%
т,15,0.00861%
бедная,15,0.00861%
злобно,15,0.00861%
выражение,15,0.00861%
спрашивать,15,0.00861%
воздуху,15,0.00861%
скажи,15,0.00861%
темно,15,0.00861%
совести,15,0.00861%
послушайте,15,0.00861%
поразило,15,0.00861%
вопроса,15,0.00861%
вопросы,15,0.00861%
понимаешь,15,0.00861%
говоришь,15,0.00861%
неожиданно,15,0.00861%
направо,15,0.00861%
целую,15,0.00861%
минута,15,0.00861%
уверен,15,0.00861%
ишь,15,0.00861%
прежнему,15,0.00861%
старуху,15,0.00861%
ждала,15,0.00861%
упал,15,0.00861%
кхе,15,0.00861%
поминки,15,0.00861%
говори,15,0.00861%
головы,15,0.00861%
легче,15,0.00861%
дико,15,0.00861%
сей,15,0.00861%
тон,15,0.00861%
увидал,15,0.00861%
ох,15,0.00861%
ушла,15,0.00861%
страдание,15,0.00861%
обстоятельства,15,0.00861%
сущности,15,0.00861%
возможности,15,0.00861%
отворил,15,0.00861%
некоторых,15,0.00861%
правы,15,0.00861%
душе,15,0.00861%
черту,15,0.00861%
сумасшедший,15,0.00861%
вечера,15,0.00861%
прошептал,15,0.00861%
глядел,15,0.00861%
аркадий,15,0.00861%
глупо,15,0.00861%
моего,15,0.00861%
ваших,15,0.00861%
стуле,15,0.00861%
помочь,15,0.00861%
нумер,15,0.00861%
письмоводитель,15,0.00861%
факты,15,0.00861%
замолчал,15,0.00861%
положение,15,0.00861%
разумихиным,15,0.00861%
памяти,15,0.00861%
нужно,15,0.00861%
побежал,15,0.00861%
билет,15,0.00861%
гость,15,0.00861%
которому,15,0.00861%
другим,15,0.00861%
нечто,15,0.00861%
внимание,15,0.00861%
ii,14,0.00803%
особенным,14,0.00803%
софье,14,0.00803%
повторял,14,0.00803%
нисколько,14,0.00803%
беспрерывно,14,0.00803%
любопытством,14,0.00803%
оказалось,14,0.00803%
садись,14,0.00803%
толпе,14,0.00803%
история,14,0.00803%
отвечать,14,0.00803%
отвечала,14,0.00803%
впечатление,14,0.00803%
поднялся,14,0.00803%
бывает,14,0.00803%
кричала,14,0.00803%
бред,14,0.00803%
